"cn","Aou","GL.mean.PopEst","GL.med.PopEst","GL.80LCI.PopEst","GL.80UCI.PopEst","GL.95LCI.PopEst","GL.95UCI.PopEst","WH.mean.PopEst","WH.med.PopEst","WH.80LCI.PopEst","WH.80UCI.PopEst","WH.95LCI.PopEst","WH.95UCI.PopEst","USCAN.mean.PopEst","USCAN.med.PopEst","USCAN.80LCI.PopEst","USCAN.80UCI.PopEst","USCAN.95LCI.PopEst","USCAN.95UCI.PopEst","rounded.GL.mean.PopEst","rounded.GL.med.PopEst","rounded.GL.80LCI.PopEst","rounded.GL.80UCI.PopEst","rounded.GL.95LCI.PopEst","rounded.GL.95UCI.PopEst","rounded.WH.mean.PopEst","rounded.WH.med.PopEst","rounded.WH.80LCI.PopEst","rounded.WH.80UCI.PopEst","rounded.WH.95LCI.PopEst","rounded.WH.95UCI.PopEst","rounded.USCAN.mean.PopEst","rounded.USCAN.med.PopEst","rounded.USCAN.80LCI.PopEst","rounded.USCAN.80UCI.PopEst","rounded.USCAN.95LCI.PopEst","rounded.USCAN.95UCI.PopEst","PS.Score","PS.80LCI.Score","PS.80UCI.Score","PS.95LCI.Score","PS.95UCI.Score","availability....ifelse.use_availability..TRUE..FALSE.","edr....ifelse.use_edr..TRUE..FALSE."
"Lucy's Warbler",6430,3531187.45456824,3515590.29953628,2499883.82002757,4581167.18887079,1926317.83431508,5032244.67351798,3531187.45456824,3515590.29953628,2499883.82002757,4581167.18887079,1926317.83431508,5032244.67351798,2817534.47,2805089.5,1994657.3,3655313.3,1537009,4015228.025,3530000,3520000,2500000,4580000,1930000,5030000,3530000,3520000,2500000,4580000,1930000,5030000,2820000,2810000,1990000,3660000,1540000,4020000,3,3,3,3,2,FALSE,FALSE
"Virginia's Warbler",6440,795444.35,805885,543082.2,1039190.7,492487.875,1124229,795444.35,805885,543082.2,1039190.7,492487.875,1124229,795444.35,805885,543082.2,1039190.7,492487.875,1124229,795000,806000,543000,1040000,492000,1120000,795000,806000,543000,1040000,492000,1120000,795000,806000,543000,1040000,492000,1120000,3,3,3,4,3,FALSE,FALSE
"Nashville Warbler",6450,36961451.25,36774055.5,32868070.4,41277471.5,31493190.65,43461579,36961451.25,36774055.5,32868070.4,41277471.5,31493190.65,43461579,36961451.25,36774055.5,32868070.4,41277471.5,31493190.65,43461579,3.7e+07,36800000,32900000,41300000,31500000,43500000,3.7e+07,36800000,32900000,41300000,31500000,43500000,3.7e+07,36800000,32900000,41300000,31500000,43500000,2,2,2,2,2,FALSE,FALSE
"Orange-crowned Warbler",6460,81394788.2700591,80981099.8697786,73491953.3206451,88931569.8687769,71348500.2253832,93759824.727036,81394788.2700591,80981099.8697786,73491953.3206451,88931569.8687769,71348500.2253832,93759824.727036,81256417.13,80843432,73367017,88780386.2,71227207.775,93600433.025,81400000,8.1e+07,73500000,88900000,71300000,93800000,81400000,8.1e+07,73500000,88900000,71300000,93800000,81300000,80800000,73400000,88800000,71200000,93600000,1,1,1,1,1,FALSE,FALSE
"Tennessee Warbler",6470,110000677.67,108126547.5,91111595.4,134787558.8,81075592.8,141513391.75,110000677.67,108126547.5,91111595.4,134787558.8,81075592.8,141513391.75,110000677.67,108126547.5,91111595.4,134787558.8,81075592.8,141513391.75,1.1e+08,1.08e+08,91100000,1.35e+08,81100000,1.42e+08,1.1e+08,1.08e+08,91100000,1.35e+08,81100000,1.42e+08,1.1e+08,1.08e+08,91100000,1.35e+08,81100000,1.42e+08,1,1,1,1,1,FALSE,FALSE
"Northern Parula",6480,22440589.93,22348803.5,21251602,23794169.6,20774617.675,24597396.6,22440589.93,22348803.5,21251602,23794169.6,20774617.675,24597396.6,22440589.93,22348803.5,21251602,23794169.6,20774617.675,24597396.6,22400000,22300000,21300000,23800000,20800000,24600000,22400000,22300000,21300000,23800000,20800000,24600000,22400000,22300000,21300000,23800000,20800000,24600000,2,2,2,2,2,FALSE,FALSE
"Cape May Warbler",6500,9043420.3,8669764.5,7172826.9,11905911.1,6392205.3,12718968.925,9043420.3,8669764.5,7172826.9,11905911.1,6392205.3,12718968.925,9043420.3,8669764.5,7172826.9,11905911.1,6392205.3,12718968.925,9040000,8670000,7170000,11900000,6390000,12700000,9040000,8670000,7170000,11900000,6390000,12700000,9040000,8670000,7170000,11900000,6390000,12700000,2,2,2,2,2,FALSE,FALSE
"Olive Warbler",6510,973214.634146342,880208.497246263,527144.767899292,1483652.24232888,422062.94256491,1888818.25334382,973214.634146342,880208.497246263,527144.767899292,1483652.24232888,422062.94256491,1888818.25334382,123695.58,111874.5,67000.1,188572.2,53644.2,240068.8,973000,880000,527000,1480000,422000,1890000,973000,880000,527000,1480000,422000,1890000,124000,112000,67000,189000,53600,240000,3,3,3,4,3,FALSE,FALSE
"Yellow Warbler",6520,88867907.0484112,88953629.2386436,83128432.8214971,96141174.0243122,78818446.2305396,99040959.8795052,88867907.0484112,88953629.2386436,83128432.8214971,96141174.0243122,78818446.2305396,99040959.8795052,83340323.23,83420713.5,77957844.3,90161193,73915938.875,92880612.175,88900000,8.9e+07,83100000,96100000,78800000,9.9e+07,88900000,8.9e+07,83100000,96100000,78800000,9.9e+07,83300000,83400000,7.8e+07,90200000,73900000,92900000,1,1,1,1,1,FALSE,FALSE
"Black-throated Blue Warbler",6540,2398772.12,2392061,2140229.1,2701297.2,2030153.325,2790071.075,2398772.12,2392061,2140229.1,2701297.2,2030153.325,2790071.075,2398772.12,2392061,2140229.1,2701297.2,2030153.325,2790071.075,2400000,2390000,2140000,2700000,2030000,2790000,2400000,2390000,2140000,2700000,2030000,2790000,2400000,2390000,2140000,2700000,2030000,2790000,3,3,3,3,3,FALSE,FALSE
"Yellow-rumped Warbler",6550,124743207.72,125932569.5,112325301.2,135735500,108792778.95,142089778.575,124743207.72,125932569.5,112325301.2,135735500,108792778.95,142089778.575,124743207.72,125932569.5,112325301.2,135735500,108792778.95,142089778.575,1.25e+08,1.26e+08,1.12e+08,1.36e+08,1.09e+08,1.42e+08,1.25e+08,1.26e+08,1.12e+08,1.36e+08,1.09e+08,1.42e+08,1.25e+08,1.26e+08,1.12e+08,1.36e+08,1.09e+08,1.42e+08,1,1,1,1,1,FALSE,FALSE
"Magnolia Warbler",6570,32467805.66,32194880.5,29497127.4,35602393.5,27882534.95,37775462.425,32467805.66,32194880.5,29497127.4,35602393.5,27882534.95,37775462.425,32467805.66,32194880.5,29497127.4,35602393.5,27882534.95,37775462.425,32500000,32200000,29500000,35600000,27900000,37800000,32500000,32200000,29500000,35600000,27900000,37800000,32500000,32200000,29500000,35600000,27900000,37800000,2,2,2,2,2,FALSE,FALSE
"Cerulean Warbler",6580,502211.04,504362,395778.9,598576.7,347479.175,639918.425,502211.04,504362,395778.9,598576.7,347479.175,639918.425,502211.04,504362,395778.9,598576.7,347479.175,639918.425,502000,504000,396000,599000,347000,640000,502000,504000,396000,599000,347000,640000,502000,504000,396000,599000,347000,640000,3,4,3,4,3,FALSE,FALSE
"Chestnut-sided Warbler",6590,18624888.3,18495609.5,17396896.9,19835674.9,16743412.15,20615643.85,18624888.3,18495609.5,17396896.9,19835674.9,16743412.15,20615643.85,18624888.3,18495609.5,17396896.9,19835674.9,16743412.15,20615643.85,18600000,18500000,17400000,19800000,16700000,20600000,18600000,18500000,17400000,19800000,16700000,20600000,18600000,18500000,17400000,19800000,16700000,20600000,2,2,2,2,2,FALSE,FALSE
"Bay-breasted Warbler",6600,10051133.36,9930756,7850208.1,12465817.4,6701805.15,14007832.175,10051133.36,9930756,7850208.1,12465817.4,6701805.15,14007832.175,10051133.36,9930756,7850208.1,12465817.4,6701805.15,14007832.175,10100000,9930000,7850000,12500000,6700000,1.4e+07,10100000,9930000,7850000,12500000,6700000,1.4e+07,10100000,9930000,7850000,12500000,6700000,1.4e+07,2,2,2,2,2,FALSE,FALSE
"Blackpoll Warbler",6610,36463046.43,35832335.5,30502306.8,42882956,29036526.575,47399344.875,36463046.43,35832335.5,30502306.8,42882956,29036526.575,47399344.875,36463046.43,35832335.5,30502306.8,42882956,29036526.575,47399344.875,36500000,35800000,30500000,42900000,2.9e+07,47400000,36500000,35800000,30500000,42900000,2.9e+07,47400000,36500000,35800000,30500000,42900000,2.9e+07,47400000,2,2,2,2,2,FALSE,FALSE
"Blackburnian Warbler",6620,14342973.74,14232114.5,12553767.4,16414097.6,11619906.6,17524238.05,14342973.74,14232114.5,12553767.4,16414097.6,11619906.6,17524238.05,14342973.74,14232114.5,12553767.4,16414097.6,11619906.6,17524238.05,14300000,14200000,12600000,16400000,11600000,17500000,14300000,14200000,12600000,16400000,11600000,17500000,14300000,14200000,12600000,16400000,11600000,17500000,2,2,2,2,2,FALSE,FALSE
"Yellow-throated Warbler",6630,2379313.68600341,2374725.97936079,2190891.09307685,2578261.39665364,2047973.09888789,2677658.75162809,2379313.68600341,2374725.97936079,2190891.09307685,2578261.39665364,2047973.09888789,2677658.75162809,2374792.99,2370214,2186728.4,2573362.7,2044081.95,2672571.2,2380000,2370000,2190000,2580000,2050000,2680000,2380000,2370000,2190000,2580000,2050000,2680000,2370000,2370000,2190000,2570000,2040000,2670000,3,3,3,3,3,FALSE,FALSE
"Grace's Warbler",6640,2771924.08800301,2675330.95148552,2042796.54005265,3663714.36630312,1810384.49605115,4136363.15344114,2771924.08800301,2675330.95148552,2042796.54005265,3663714.36630312,1810384.49605115,4136363.15344114,1474109.23,1422741,1086359.2,1948363.3,962762.475,2199717.925,2770000,2680000,2040000,3660000,1810000,4140000,2770000,2680000,2040000,3660000,1810000,4140000,1470000,1420000,1090000,1950000,963000,2200000,3,3,3,3,3,FALSE,FALSE
"Black-throated Gray Warbler",6650,3295420.31438936,3307110.5401048,2835595.32446594,3819425.03022975,2555153.71825877,4042571.84602983,3295420.31438936,3307110.5401048,2835595.32446594,3819425.03022975,2555153.71825877,4042571.84602983,3270375.12,3281976.5,2814044.8,3790397.4,2535734.55,4011848.3,3300000,3310000,2840000,3820000,2560000,4040000,3300000,3310000,2840000,3820000,2560000,4040000,3270000,3280000,2810000,3790000,2540000,4010000,3,3,3,3,3,FALSE,FALSE
"Golden-cheeked Warbler",6660,42435.12,38055,12674.2,71197.8,6105.35,109418.9,42435.12,38055,12674.2,71197.8,6105.35,109418.9,42435.12,38055,12674.2,71197.8,6105.35,109418.9,42400,38100,12700,71200,6110,109000,42400,38100,12700,71200,6110,109000,42400,38100,12700,71200,6110,109000,5,5,4,5,4,FALSE,FALSE
"Black-throated Green Warbler",6670,8864944.87,8840821,8037705.5,9719425.2,7792410.925,10250630.025,8864944.87,8840821,8037705.5,9719425.2,7792410.925,10250630.025,8864944.87,8840821,8037705.5,9719425.2,7792410.925,10250630.025,8860000,8840000,8040000,9720000,7790000,10300000,8860000,8840000,8040000,9720000,7790000,10300000,8860000,8840000,8040000,9720000,7790000,10300000,2,2,2,2,2,FALSE,FALSE
"Townsend's Warbler",6680,20213496.41,20022735.5,17153216.2,23352932.1,15977091.35,24359690.6,20213496.41,20022735.5,17153216.2,23352932.1,15977091.35,24359690.6,20213496.41,20022735.5,17153216.2,23352932.1,15977091.35,24359690.6,20200000,2e+07,17200000,23400000,1.6e+07,24400000,20200000,2e+07,17200000,23400000,1.6e+07,24400000,20200000,2e+07,17200000,23400000,1.6e+07,24400000,2,2,2,2,2,FALSE,FALSE
"Hermit Warbler",6690,2342508.8,2335740,1879087.7,2766717.7,1781996.825,3030463.65,2342508.8,2335740,1879087.7,2766717.7,1781996.825,3030463.65,2342508.8,2335740,1879087.7,2766717.7,1781996.825,3030463.65,2340000,2340000,1880000,2770000,1780000,3030000,2340000,2340000,1880000,2770000,1780000,3030000,2340000,2340000,1880000,2770000,1780000,3030000,3,3,3,3,3,FALSE,FALSE
"Kirtland's Warbler",6700,9132.24,6638.5,1355,19291.5,216.225,29399.275,9132.24,6638.5,1355,19291.5,216.225,29399.275,9132.24,6638.5,1355,19291.5,216.225,29399.275,9130,6640,1360,19300,216,29400,9130,6640,1360,19300,216,29400,9130,6640,1360,19300,216,29400,5,5,5,5,5,FALSE,FALSE
"Pine Warbler",6710,14253300.7810059,14201217.3279184,13555866.9165886,15228503.6967614,13059757.5757576,15556614.0789337,14253300.7810059,14201217.3279184,13555866.9165886,15228503.6967614,13059757.5757576,15556614.0789337,13687444.74,13637429,13017699,14623932.1,12541285.2,14939016.5,14300000,14200000,13600000,15200000,13100000,15600000,14300000,14200000,13600000,15200000,13100000,15600000,13700000,13600000,1.3e+07,14600000,12500000,14900000,2,2,2,2,2,FALSE,FALSE
"Palm Warbler",6720,6695726.67,6466502.5,5024786,8772277.3,3881310.575,9800511.85,6695726.67,6466502.5,5024786,8772277.3,3881310.575,9800511.85,6695726.67,6466502.5,5024786,8772277.3,3881310.575,9800511.85,6700000,6470000,5020000,8770000,3880000,9800000,6700000,6470000,5020000,8770000,3880000,9800000,6700000,6470000,5020000,8770000,3880000,9800000,2,2,2,3,2,FALSE,FALSE
"Prairie Warbler",6730,3495902.75,3498495,3193277,3763864.7,3070338.9,3916316.45,3495902.75,3498495,3193277,3763864.7,3070338.9,3916316.45,3495902.75,3498495,3193277,3763864.7,3070338.9,3916316.45,3500000,3500000,3190000,3760000,3070000,3920000,3500000,3500000,3190000,3760000,3070000,3920000,3500000,3500000,3190000,3760000,3070000,3920000,3,3,3,3,3,FALSE,FALSE
"Ovenbird",6740,27374978.08,27480294,25222850.2,29295435.5,24053068.45,30612419.9,27374978.08,27480294,25222850.2,29295435.5,24053068.45,30612419.9,27374978.08,27480294,25222850.2,29295435.5,24053068.45,30612419.9,27400000,27500000,25200000,29300000,24100000,30600000,27400000,27500000,25200000,29300000,24100000,30600000,27400000,27500000,25200000,29300000,24100000,30600000,2,2,2,2,2,FALSE,FALSE
"Northern Waterthrush",6750,15715437.56,15690909.5,14009908.8,17634157.2,12739972.725,18586124.8,15715437.56,15690909.5,14009908.8,17634157.2,12739972.725,18586124.8,15715437.56,15690909.5,14009908.8,17634157.2,12739972.725,18586124.8,15700000,15700000,1.4e+07,17600000,12700000,18600000,15700000,15700000,1.4e+07,17600000,12700000,18600000,15700000,15700000,1.4e+07,17600000,12700000,18600000,2,2,2,2,2,FALSE,FALSE
"Louisiana Waterthrush",6760,504960.06,503347,454194.6,555144.3,436830.675,582296.7,504960.06,503347,454194.6,555144.3,436830.675,582296.7,504960.06,503347,454194.6,555144.3,436830.675,582296.7,505000,503000,454000,555000,437000,582000,505000,503000,454000,555000,437000,582000,505000,503000,454000,555000,437000,582000,3,4,3,4,3,FALSE,FALSE
"Kentucky Warbler",6770,2348004.11,2337397,2181703.2,2495413.2,2106370.025,2637277.125,2348004.11,2337397,2181703.2,2495413.2,2106370.025,2637277.125,2348004.11,2337397,2181703.2,2495413.2,2106370.025,2637277.125,2350000,2340000,2180000,2500000,2110000,2640000,2350000,2340000,2180000,2500000,2110000,2640000,2350000,2340000,2180000,2500000,2110000,2640000,3,3,3,3,3,FALSE,FALSE
"Connecticut Warbler",6780,954574.28,957317,695598.3,1244073.5,591473.125,1376870.725,954574.28,957317,695598.3,1244073.5,591473.125,1376870.725,954574.28,957317,695598.3,1244073.5,591473.125,1376870.725,955000,957000,696000,1240000,591000,1380000,955000,957000,696000,1240000,591000,1380000,955000,957000,696000,1240000,591000,1380000,3,3,3,3,3,FALSE,FALSE
"Mourning Warbler",6790,12801659.86,12702458.5,11282971.5,14743826.1,10961351.025,15482262.675,12801659.86,12702458.5,11282971.5,14743826.1,10961351.025,15482262.675,12801659.86,12702458.5,11282971.5,14743826.1,10961351.025,15482262.675,12800000,12700000,11300000,14700000,1.1e+07,15500000,12800000,12700000,11300000,14700000,1.1e+07,15500000,12800000,12700000,11300000,14700000,1.1e+07,15500000,2,2,2,2,2,FALSE,FALSE
"MacGillivray's Warbler",6800,9670540.75387577,9623738.47400953,8644807.78194346,10825472.8949235,8188397.78599656,11376120.1236194,9670540.75387577,9623738.47400953,8644807.78194346,10825472.8949235,8188397.78599656,11376120.1236194,9543856.67,9497667.5,8531560.8,10683659.2,8081129.775,11227092.95,9670000,9620000,8640000,10800000,8190000,11400000,9670000,9620000,8640000,10800000,8190000,11400000,9540000,9500000,8530000,10700000,8080000,11200000,2,2,2,2,2,FALSE,FALSE
"Common Yellowthroat",6810,81038033.097849,81096100.8013496,78135826.5499789,83411403.41628,76566120.6242092,85061620.2024462,81038033.097849,81096100.8013496,78135826.5499789,83411403.41628,76566120.6242092,85061620.2024462,76856470.59,76911542,74104017.9,79107375,72615308.8,80672440.6,8.1e+07,81100000,78100000,83400000,76600000,85100000,8.1e+07,81100000,78100000,83400000,76600000,85100000,76900000,76900000,74100000,79100000,72600000,80700000,1,1,1,1,1,FALSE,FALSE
"Yellow-breasted Chat",6830,15191180.8860899,15188953.7067727,14108808.5294443,16320334.7696387,13675207.8775826,17120408.2145619,15191180.8860899,15188953.7067727,14108808.5294443,16320334.7696387,13675207.8775826,17120408.2145619,13749537.82,13747522,12769882.6,14771535,12377430.65,15495681.475,15200000,15200000,14100000,16300000,13700000,17100000,15200000,15200000,14100000,16300000,13700000,17100000,13700000,13700000,12800000,14800000,12400000,15500000,2,2,2,2,2,FALSE,FALSE
"Hooded Warbler",6840,5764062.69,5752468.5,5298616.4,6143405.7,5212166.625,6402305.925,5764062.69,5752468.5,5298616.4,6143405.7,5212166.625,6402305.925,5764062.69,5752468.5,5298616.4,6143405.7,5212166.625,6402305.925,5760000,5750000,5300000,6140000,5210000,6400000,5760000,5750000,5300000,6140000,5210000,6400000,5760000,5750000,5300000,6140000,5210000,6400000,2,2,2,2,2,FALSE,FALSE
"Wilson's Warbler",6850,86169699.51,83693946,72504180,101346709.1,68433990.05,106611059.8,86169699.51,83693946,72504180,101346709.1,68433990.05,106611059.8,86169699.51,83693946,72504180,101346709.1,68433990.05,106611059.8,86200000,83700000,72500000,1.01e+08,68400000,1.07e+08,86200000,83700000,72500000,1.01e+08,68400000,1.07e+08,86200000,83700000,72500000,1.01e+08,68400000,1.07e+08,1,1,1,1,1,FALSE,FALSE
"Canada Warbler",6860,2650614.62,2625677,2315581.9,3030556.3,2250299.75,3169361.5,2650614.62,2625677,2315581.9,3030556.3,2250299.75,3169361.5,2650614.62,2625677,2315581.9,3030556.3,2250299.75,3169361.5,2650000,2630000,2320000,3030000,2250000,3170000,2650000,2630000,2320000,3030000,2250000,3170000,2650000,2630000,2320000,3030000,2250000,3170000,3,3,3,3,3,FALSE,FALSE
"American Redstart",6870,42695349.84,42562505,39267774.6,46462388.5,37414358.5,48028596.075,42695349.84,42562505,39267774.6,46462388.5,37414358.5,48028596.075,42695349.84,42562505,39267774.6,46462388.5,37414358.5,48028596.075,42700000,42600000,39300000,46500000,37400000,4.8e+07,42700000,42600000,39300000,46500000,37400000,4.8e+07,42700000,42600000,39300000,46500000,37400000,4.8e+07,2,2,2,2,2,FALSE,FALSE
"Painted Redstart",6880,602357.35763098,585398.633257403,319841.913439636,884136.218678815,281494.760820046,1049131.54897494,602357.35763098,585398.633257403,319841.913439636,884136.218678815,281494.760820046,1049131.54897494,132217.44,128495,70205.3,194067.9,61788.1,230284.375,602000,585000,320000,884000,281000,1050000,602000,585000,320000,884000,281000,1050000,132000,128000,70200,194000,61800,230000,3,4,3,4,3,FALSE,FALSE
"House Sparrow",6882,538909759.151194,536104927.055703,505610529.177719,571623200.928382,491941524.701592,594205262.433687,161662207.439825,160820813.606525,151673100.855381,171475589.218222,147572671.424309,178249758.454347,81267591.68,80844623,76246067.8,86200778.7,74184781.925,89606153.575,5.39e+08,5.36e+08,5.06e+08,5.72e+08,4.92e+08,5.94e+08,1.62e+08,1.61e+08,1.52e+08,1.71e+08,1.48e+08,1.78e+08,81300000,80800000,76200000,86200000,74200000,89600000,1,1,1,1,1,FALSE,FALSE
"Eurasian Tree Sparrow",6883,251948070,243735500,178984900,337170800,149101425,413303900,251948.07,243735.5,178984.9,337170.8,149101.425,413303.9,251948.07,243735.5,178984.9,337170.8,149101.425,413303.9,2.52e+08,2.44e+08,1.79e+08,3.37e+08,1.49e+08,4.13e+08,252000,244000,179000,337000,149000,413000,252000,244000,179000,337000,149000,413000,1,1,1,1,1,FALSE,FALSE
"Red-faced Warbler",6900,972095.016611296,930292.081949059,445228.128460687,1599991.97120709,293217.607973422,2040213.87043189,972095.016611296,930292.081949059,445228.128460687,1599991.97120709,293217.607973422,2040213.87043189,351120.72,336021.5,160816.4,577917.1,105910.2,736925.25,972000,930000,445000,1600000,293000,2040000,972000,930000,445000,1600000,293000,2040000,351000,336000,161000,578000,106000,737000,3,4,3,4,3,FALSE,FALSE
"American Pipit",6970,2707192.10760338,2513661.07158737,1738365.27345487,4034100.04446421,1152457.9535349,4556406.95864829,2436608.32416208,2262420.71035518,1564615.70785393,3630891.84592296,1037269.80990495,4100994.19709855,2435390.02,2261289.5,1563833.4,3629076.4,1036751.175,4098943.7,2710000,2510000,1740000,4030000,1150000,4560000,2440000,2260000,1560000,3630000,1040000,4100000,2440000,2260000,1560000,3630000,1040000,4100000,3,3,3,3,3,FALSE,FALSE
"Sprague's Pipit",7000,968488.42,939846.5,750519.9,1189562.6,665285.25,1455664.625,968488.42,939846.5,750519.9,1189562.6,665285.25,1455664.625,968488.42,939846.5,750519.9,1189562.6,665285.25,1455664.625,968000,940000,751000,1190000,665000,1460000,968000,940000,751000,1190000,665000,1460000,968000,940000,751000,1190000,665000,1460000,3,3,3,3,3,FALSE,FALSE
"American Dipper",7010,164711.92455243,164088.874680307,133012.68115942,199740.942028986,120643.488917306,217813.752131287,164711.92455243,164088.874680307,133012.68115942,199740.942028986,120643.488917306,217813.752131287,154565.67,153981,124819.1,187436.9,113211.85,204396.425,165000,164000,133000,2e+05,121000,218000,165000,164000,133000,2e+05,121000,218000,155000,154000,125000,187000,113000,204000,4,4,4,4,4,FALSE,FALSE
"Sage Thrasher",7020,6091186.61,5990948,5013779.9,7357826.7,4537898.45,7872805.45,6091186.61,5990948,5013779.9,7357826.7,4537898.45,7872805.45,6091186.61,5990948,5013779.9,7357826.7,4537898.45,7872805.45,6090000,5990000,5010000,7360000,4540000,7870000,6090000,5990000,5010000,7360000,4540000,7870000,6090000,5990000,5010000,7360000,4540000,7870000,2,2,2,3,2,FALSE,FALSE
"Northern Mockingbird",7030,37103624.1209056,36948459.77842,34432672.4470135,39897793.5934489,33870856.6052505,41627140.7755299,37103624.1209056,36948459.77842,34432672.4470135,39897793.5934489,33870856.6052505,41627140.7755299,30810849.47,30682001,28592891.2,33131127.8,28126359.325,34567177.7,37100000,36900000,34400000,39900000,33900000,41600000,37100000,36900000,34400000,39900000,33900000,41600000,30800000,30700000,28600000,33100000,28100000,34600000,2,2,2,2,2,FALSE,FALSE
"Gray Catbird",7040,30241963.54,30185701.5,29061503.9,31576801,28530072.475,32107899.875,30241963.54,30185701.5,29061503.9,31576801,28530072.475,32107899.875,30241963.54,30185701.5,29061503.9,31576801,28530072.475,32107899.875,30200000,30200000,29100000,31600000,28500000,32100000,30200000,30200000,29100000,31600000,28500000,32100000,30200000,30200000,29100000,31600000,28500000,32100000,2,2,2,2,2,FALSE,FALSE
"Brown Thrasher",7050,5659031.5,5676476,5270909.5,5960518.6,5160780.725,6082807.825,5659031.5,5676476,5270909.5,5960518.6,5160780.725,6082807.825,5659031.5,5676476,5270909.5,5960518.6,5160780.725,6082807.825,5660000,5680000,5270000,5960000,5160000,6080000,5660000,5680000,5270000,5960000,5160000,6080000,5660000,5680000,5270000,5960000,5160000,6080000,2,2,2,2,2,FALSE,FALSE
"Long-billed Thrasher",7060,286989.429634222,280167.389956603,194426.224426534,385665.840049597,163084.547427154,425528.208307501,286989.429634222,280167.389956603,194426.224426534,385665.840049597,163084.547427154,425528.208307501,92582.79,90382,62721.9,124415.8,52611.075,137275.4,287000,280000,194000,386000,163000,426000,287000,280000,194000,386000,163000,426000,92600,90400,62700,124000,52600,137000,4,4,4,4,4,FALSE,FALSE
"Curve-billed Thrasher",7070,3190031.411145,3117210.97865262,2548855.83587469,3937674.24452454,2205513.6540061,4343971.09786526,3190031.411145,3117210.97865262,2548855.83587469,3937674.24452454,2205513.6540061,4343971.09786526,1150644.33,1124378,919372.3,1420319.1,795528.775,1566870.375,3190000,3120000,2550000,3940000,2210000,4340000,3190000,3120000,2550000,3940000,2210000,4340000,1150000,1120000,919000,1420000,796000,1570000,3,3,3,3,3,FALSE,FALSE
"Bendire's Thrasher",7080,66822.2864167179,64793.4849416103,47803.6877688998,87890.3503380455,40153.2267977873,101747.234173325,66822.2864167179,64793.4849416103,47803.6877688998,87890.3503380455,40153.2267977873,101747.234173325,54359.93,52709.5,38888.3,71498.8,32664.65,82771.375,66800,64800,47800,87900,40200,102000,66800,64800,47800,87900,40200,102000,54400,52700,38900,71500,32700,82800,4,5,4,5,4,FALSE,FALSE
"California Thrasher",7100,243507.549591599,224275.962660443,144150.175029172,366696.732788798,130265.373395566,426012.777129522,243507.549591599,224275.962660443,144150.175029172,366696.732788798,130265.373395566,426012.777129522,208685.97,192204.5,123536.7,314259.1,111637.425,365092.95,244000,224000,144000,367000,130000,426000,244000,224000,144000,367000,130000,426000,209000,192000,124000,314000,112000,365000,4,4,4,4,4,FALSE,FALSE
"LeConte's Thrasher",7110,51537.5658720201,46946.6750313676,28217.0639899624,76466.6248431619,20975.2823086575,102993.726474278,51537.5658720201,46946.6750313676,28217.0639899624,76466.6248431619,20975.2823086575,102993.726474278,41075.44,37416.5,22489,60943.9,16717.3,82086,51500,46900,28200,76500,21000,103000,51500,46900,28200,76500,21000,103000,41100,37400,22500,60900,16700,82100,5,5,4,5,4,FALSE,FALSE
"Crissal Thrasher",7120,183812.578774893,184044.618099319,132134.61053693,236950.844466852,120071.212503151,259741.240231913,183812.578774893,184044.618099319,132134.61053693,236950.844466852,120071.212503151,259741.240231913,72918.45,73010.5,52417.8,93998.4,47632.25,103039.35,184000,184000,132000,237000,120000,260000,184000,184000,132000,237000,120000,260000,72900,73000,52400,94000,47600,103000,4,4,4,4,4,FALSE,FALSE
"Cactus Wren",7130,6706505.81886438,6623904.27029564,5351651.57203191,8080958.93946504,4974733.39981229,8720073.90896293,6706505.81886438,6623904.27029564,5351651.57203191,8080958.93946504,4974733.39981229,8720073.90896293,2858312.78,2823108,2280873.9,3444104.7,2120231.375,3716495.5,6710000,6620000,5350000,8080000,4970000,8720000,6710000,6620000,5350000,8080000,4970000,8720000,2860000,2820000,2280000,3440000,2120000,3720000,2,2,2,3,2,FALSE,FALSE
"Rock Wren",7150,4170890.38097811,4176790.73223453,3646592.67765469,4826689.94866252,3404250.13509862,5032343.58957039,4170890.38097811,4176790.73223453,3646592.67765469,4826689.94866252,3404250.13509862,5032343.58957039,3087293.06,3091660.5,2699207.9,3572715.9,2519825.95,3724940.725,4170000,4180000,3650000,4830000,3400000,5030000,4170000,4180000,3650000,4830000,3400000,5030000,3090000,3090000,2700000,3570000,2520000,3720000,3,3,3,3,2,FALSE,FALSE
"Canyon Wren",7170,590897.771217712,593419.926199262,488725.018450184,695411.365313653,439081.402214022,738749.188191882,590897.771217712,593419.926199262,488725.018450184,695411.365313653,439081.402214022,738749.188191882,400333.24,402042,331111.2,471141.2,297477.65,500502.575,591000,593000,489000,695000,439000,739000,591000,593000,489000,695000,439000,739000,4e+05,402000,331000,471000,297000,501000,3,4,3,4,3,FALSE,FALSE
"Carolina Wren",7180,21080905.9865471,21083448.4304933,19612043.9461883,22533472.1973094,18944378.8957399,22890047.926009,21080905.9865471,21083448.4304933,19612043.9461883,22533472.1973094,18944378.8957399,22890047.926009,18804168.14,18806436,17493943.2,20099857.2,16898385.975,20417922.75,21100000,21100000,19600000,22500000,18900000,22900000,21100000,21100000,19600000,22500000,18900000,22900000,18800000,18800000,17500000,20100000,16900000,20400000,2,2,2,2,2,FALSE,FALSE
