"cn","To.ProvBCR","From.ProvBCR","RngAdj","To.BCR","To.Prov","From.BCR","From.Prov"
"Broad-tailed Hummingbird","55-16","6-16",2,16,"NV",16,"AZ"
"Yellow Warbler","55-16","6-16",1,16,"NV",16,"AZ"
"House Finch","55-16","6-16",1,16,"NV",16,"AZ"
"Gray Vireo","55-16","6-16",1.01,16,"NV",16,"AZ"
"Indigo Bunting","55-16","6-16",1,16,"NV",16,"AZ"
"Brown-headed Cowbird","55-16","6-16",1,16,"NV",16,"AZ"
"Common Raven","55-16","6-16",1,16,"NV",16,"AZ"
"Rock Wren","55-16","6-16",1,16,"NV",16,"AZ"
"Ring-necked Pheasant","55-16","6-16",2,16,"NV",16,"AZ"
"Black-tailed Gnatcatcher","55-16","6-16",2,16,"NV",16,"AZ"
"Cactus Wren","55-16","6-16",2,16,"NV",16,"AZ"
"Bullock's Oriole","55-16","6-16",1,16,"NV",16,"AZ"
"Peregrine Falcon","55-16","6-16",1,16,"NV",16,"AZ"
"Vesper Sparrow","55-16","6-16",0.04,16,"NV",16,"AZ"
"Hermit Thrush","55-16","6-16",1.01,16,"NV",16,"AZ"
"Green-tailed Towhee","55-16","6-16",0.05,16,"NV",16,"AZ"
"Western Wood-Pewee","55-16","6-16",1,16,"NV",16,"AZ"
"Northern Mockingbird","55-16","6-16",1,16,"NV",16,"AZ"
"Steller's Jay","55-16","6-16",1.01,16,"NV",16,"AZ"
"Red-naped Sapsucker","55-16","6-16",1.01,16,"NV",16,"AZ"
"Yellow-headed Blackbird","55-16","6-16",2,16,"NV",16,"AZ"
"Canyon Wren","55-16","6-16",1,16,"NV",16,"AZ"
"Northern Harrier","55-16","6-16",1.53,16,"NV",16,"AZ"
"Red-tailed Hawk","55-16","6-16",1,16,"NV",16,"AZ"
"Marsh Wren","55-16","6-16",2,16,"NV",16,"AZ"
"Band-tailed Pigeon","55-16","6-16",1,16,"NV",16,"AZ"
"Costa's Hummingbird","55-16","6-16",2,16,"NV",16,"AZ"
"White-winged Dove","55-16","6-16",2,16,"NV",16,"AZ"
"Hairy Woodpecker","55-16","6-16",0.96,16,"NV",16,"AZ"
"Black-chinned Hummingbird","55-16","6-16",1,16,"NV",16,"AZ"
"Lucy's Warbler","55-16","6-16",2,16,"NV",16,"AZ"
"Loggerhead Shrike","55-16","6-16",1,16,"NV",16,"AZ"
"Lazuli Bunting","55-16","6-16",1.32,16,"NV",16,"AZ"
"Blue Grosbeak","55-16","6-16",1,16,"NV",16,"AZ"
"Western Meadowlark","55-16","6-16",1,16,"NV",16,"AZ"
"Warbling Vireo","55-16","6-16",1.01,16,"NV",16,"AZ"
"Black-headed Grosbeak","55-16","6-16",1.15,16,"NV",16,"AZ"
"White-throated Swift","55-16","6-16",1,16,"NV",16,"AZ"
"Red-winged Blackbird","55-16","6-16",1,16,"NV",16,"AZ"
"Abert's Towhee","55-16","6-16",2,16,"NV",16,"AZ"
"Chipping Sparrow","55-16","6-16",1,16,"NV",16,"AZ"
"Grace's Warbler","55-16","6-16",1.04,16,"NV",16,"AZ"
"Scott's Oriole","55-16","6-16",1.56,16,"NV",16,"AZ"
"Olive-sided Flycatcher","55-16","6-16",1.09,16,"NV",16,"AZ"
"Western Screech-Owl","55-16","6-16",1,16,"NV",16,"AZ"
"Barn Owl","55-16","6-16",1.37,16,"NV",16,"AZ"
"Cordilleran Flycatcher","55-16","6-16",1.19,16,"NV",16,"AZ"
"Western Scrub-Jay","55-16","6-16",0.51,16,"NV",16,"AZ"
"Song Sparrow","55-16","6-16",1.96,16,"NV",16,"AZ"
"Golden Eagle","55-16","6-16",1,16,"NV",16,"AZ"
"Dusky Flycatcher","55-16","6-16",0.24,16,"NV",16,"AZ"
"Northern Saw-whet Owl","55-16","6-16",1,16,"NV",16,"AZ"
"Northern Rough-winged Swallow","55-16","6-16",1,16,"NV",16,"AZ"
"Great-tailed Grackle","55-16","6-16",1,16,"NV",16,"AZ"
"Bendire's Thrasher","55-16","6-16",1,16,"NV",16,"AZ"
"Northern Flicker","55-16","6-16",1.01,16,"NV",16,"AZ"
"Bewick's Wren","55-16","6-16",1,16,"NV",16,"AZ"
"Mountain Chickadee","55-16","6-16",0.12,16,"NV",16,"AZ"
"Northern Goshawk","55-16","6-16",1.05,16,"NV",16,"AZ"
"Sharp-shinned Hawk","55-16","6-16",1.12,16,"NV",16,"AZ"
"Phainopepla","55-16","6-16",2,16,"NV",16,"AZ"
"Greater Roadrunner","55-16","6-16",2,16,"NV",16,"AZ"
"Cliff Swallow","55-16","6-16",1.02,16,"NV",16,"AZ"
"Black Phoebe","55-16","6-16",0.4,16,"NV",16,"AZ"
"Pygmy Nuthatch","55-16","6-16",1,16,"NV",16,"AZ"
"Le Conte's Thrasher","55-16","6-16",2,16,"NV",16,"AZ"
"Great Horned Owl","55-16","6-16",1,16,"NV",16,"AZ"
"Summer Tanager","55-16","6-16",2,16,"NV",16,"AZ"
"American Robin","55-16","6-16",1,16,"NV",16,"AZ"
"Crissal Thrasher","55-16","6-16",2,16,"NV",16,"AZ"
"Tree Swallow","55-16","6-16",2,16,"NV",16,"AZ"
"Plumbeous Vireo","55-16","6-16",1.08,16,"NV",16,"AZ"
"Sage Thrasher","55-16","6-16",0.08,16,"NV",16,"AZ"
"Turkey Vulture","55-16","6-16",1,16,"NV",16,"AZ"
"Western Kingbird","55-16","6-16",1,16,"NV",16,"AZ"
"Swainson's Hawk","55-16","6-16",1,16,"NV",16,"AZ"
"Ladder-backed Woodpecker","55-16","6-16",2,16,"NV",16,"AZ"
"Black-throated Gray Warbler","55-16","6-16",1,16,"NV",16,"AZ"
"Burrowing Owl","55-16","6-16",1,16,"NV",16,"AZ"
"Blue-gray Gnatcatcher","55-16","6-16",1.04,16,"NV",16,"AZ"
"Rock Pigeon","55-16","6-16",1,16,"NV",16,"AZ"
"White-headed Woodpecker","55-15","14-15",1.15,15,"NV",15,"CA"
"Ruby-crowned Kinglet","55-15","14-15",1.2,15,"NV",15,"CA"
"Mountain Quail","55-15","14-15",0.54,15,"NV",15,"CA"
"Dark-eyed Junco","55-15","14-15",2,15,"NV",15,"CA"
"Cooper's Hawk","55-15","14-15",1,15,"NV",15,"CA"
"Hermit Thrush","55-15","14-15",1,15,"NV",15,"CA"
"Nashville Warbler","55-15","14-15",0.29,15,"NV",15,"CA"
"Bewick's Wren","55-15","14-15",1.25,15,"NV",15,"CA"
"Mountain Chickadee","55-15","14-15",1.2,15,"NV",15,"CA"
"Savannah Sparrow","55-15","14-15",1,15,"NV",15,"CA"
"Northern Harrier","55-15","14-15",1.01,15,"NV",15,"CA"
"Black-headed Grosbeak","55-15","14-15",1.18,15,"NV",15,"CA"
"Western Wood-Pewee","55-15","14-15",1,15,"NV",15,"CA"
"Northern Mockingbird","55-15","14-15",1,15,"NV",15,"CA"
"Common Nighthawk","55-15","14-15",1,15,"NV",15,"CA"
"Pinyon Jay","55-15","14-15",2,15,"NV",15,"CA"
"Barn Swallow","55-15","14-15",1,15,"NV",15,"CA"
"Olive-sided Flycatcher","55-15","14-15",1,15,"NV",15,"CA"
"Red-winged Blackbird","55-15","14-15",1,15,"NV",15,"CA"
"Mountain Bluebird","55-15","14-15",1.11,15,"NV",15,"CA"
"Osprey","55-15","14-15",2,15,"NV",15,"CA"
"Plumbeous Vireo","55-15","14-15",2,15,"NV",15,"CA"
"House Sparrow","55-15","14-15",1,15,"NV",15,"CA"
"Pygmy Nuthatch","55-15","14-15",1.74,15,"NV",15,"CA"
"Great-tailed Grackle","55-15","14-15",0.64,15,"NV",15,"CA"
"Black-billed Magpie","55-15","14-15",1.25,15,"NV",15,"CA"
"Red-breasted Nuthatch","55-15","14-15",1.17,15,"NV",15,"CA"
"Bank Swallow","55-15","14-15",2,15,"NV",15,"CA"
"Prairie Falcon","55-15","14-15",2,15,"NV",15,"CA"
"Lewis's Woodpecker","55-15","14-15",1,15,"NV",15,"CA"
"Cassin's Finch","55-15","14-15",2,15,"NV",15,"CA"
"Pine Grosbeak","55-15","14-15",1.67,15,"NV",15,"CA"
"Yellow Warbler","55-15","14-15",1.18,15,"NV",15,"CA"
"Black-throated Sparrow","55-15","14-15",0.06,15,"NV",15,"CA"
"Peregrine Falcon","55-15","14-15",1,15,"NV",15,"CA"
"Northern Rough-winged Swallow","55-15","14-15",1,15,"NV",15,"CA"
"Hermit Warbler","55-15","14-15",2,15,"NV",15,"CA"
"Juniper Titmouse","55-15","14-15",2,15,"NV",15,"CA"
"Sooty Grouse","55-15","14-15",1.98,15,"NV",15,"CA"
"Yellow-headed Blackbird","55-15","14-15",2,15,"NV",15,"CA"
"Brown-headed Cowbird","55-15","14-15",1,15,"NV",15,"CA"
"Steller's Jay","55-15","14-15",1.04,15,"NV",15,"CA"
"American Dipper","55-15","14-15",1.52,15,"NV",15,"CA"
"Hammond's Flycatcher","55-15","14-15",2,15,"NV",15,"CA"
"Brewer's Sparrow","55-15","14-15",1,15,"NV",15,"CA"
"Great Gray Owl","55-15","14-15",0.47,15,"NV",15,"CA"
"Lincoln's Sparrow","55-15","14-15",0.38,15,"NV",15,"CA"
"Chipping Sparrow","55-15","14-15",1,15,"NV",15,"CA"
"Red-tailed Hawk","55-15","14-15",1,15,"NV",15,"CA"
"Common Raven","55-15","14-15",1,15,"NV",15,"CA"
"Black-backed Woodpecker","55-15","14-15",1.95,15,"NV",15,"CA"
"Horned Lark","55-15","14-15",1,15,"NV",15,"CA"
"Long-eared Owl","55-15","14-15",1.37,15,"NV",15,"CA"
"Evening Grosbeak","55-15","14-15",1.41,15,"NV",15,"CA"
"Lazuli Bunting","55-15","14-15",1.16,15,"NV",15,"CA"
"Bullock's Oriole","55-15","14-15",1,15,"NV",15,"CA"
"Song Sparrow","55-15","14-15",1.08,15,"NV",15,"CA"
"Golden Eagle","55-15","14-15",1.24,15,"NV",15,"CA"
"Sharp-shinned Hawk","55-15","14-15",1.22,15,"NV",15,"CA"
"Warbling Vireo","55-15","14-15",1,15,"NV",15,"CA"
"MacGillivray's Warbler","55-15","14-15",1.14,15,"NV",15,"CA"
"Lesser Goldfinch","55-15","14-15",1.31,15,"NV",15,"CA"
"Cedar Waxwing","55-15","14-15",2,15,"NV",15,"CA"
"White-throated Swift","55-15","14-15",1.06,15,"NV",15,"CA"
"Great Horned Owl","55-15","14-15",1,15,"NV",15,"CA"
"Townsend's Solitaire","55-15","14-15",1.34,15,"NV",15,"CA"
"Willow Flycatcher","55-15","14-15",1,15,"NV",15,"CA"
"Dusky Flycatcher","55-15","14-15",1,15,"NV",15,"CA"
"Barn Owl","55-15","14-15",1,15,"NV",15,"CA"
"Western Bluebird","55-15","14-15",1.52,15,"NV",15,"CA"
"California Quail","55-15","14-15",1.23,15,"NV",15,"CA"
"Belted Kingfisher","55-15","14-15",1.23,15,"NV",15,"CA"
"Violet-green Swallow","55-15","14-15",1,15,"NV",15,"CA"
"Band-tailed Pigeon","55-15","14-15",1.02,15,"NV",15,"CA"
"House Wren","55-15","14-15",1.92,15,"NV",15,"CA"
"Blue-gray Gnatcatcher","55-15","14-15",0.26,15,"NV",15,"CA"
"American Kestrel","55-15","14-15",1,15,"NV",15,"CA"
"White-crowned Sparrow","55-15","14-15",1.17,15,"NV",15,"CA"
"Northern Saw-whet Owl","55-15","14-15",1.54,15,"NV",15,"CA"
"Western Tanager","55-15","14-15",1.06,15,"NV",15,"CA"
"Pine Siskin","55-15","14-15",1.11,15,"NV",15,"CA"
"Northern Pygmy-Owl","55-15","14-15",1.32,15,"NV",15,"CA"
"Calliope Hummingbird","55-15","14-15",1.12,15,"NV",15,"CA"
"Red Crossbill","55-15","14-15",1.22,15,"NV",15,"CA"
"Short-eared Owl","55-15","14-15",1.83,15,"NV",15,"CA"
"Vaux's Swift","55-15","14-15",0.02,15,"NV",15,"CA"
"Chukar","55-15","14-15",1.29,15,"NV",15,"CA"
"Tree Swallow","55-15","14-15",0.53,15,"NV",15,"CA"
"Hairy Woodpecker","55-15","14-15",1.79,15,"NV",15,"CA"
"Fox Sparrow","55-15","14-15",1,15,"NV",15,"CA"
"Williamson's Sapsucker","55-15","14-15",2,15,"NV",15,"CA"
"Brown Creeper","55-15","14-15",1.34,15,"NV",15,"CA"
"American Robin","55-15","14-15",1,15,"NV",15,"CA"
"Canyon Wren","55-15","14-15",1.47,15,"NV",15,"CA"
"Rock Pigeon","55-15","14-15",1,15,"NV",15,"CA"
"Western Kingbird","55-15","14-15",1,15,"NV",15,"CA"
"Mourning Dove","55-15","14-15",1,15,"NV",15,"CA"
"Rock Wren","55-15","14-15",1.23,15,"NV",15,"CA"
"Western Screech-Owl","55-15","14-15",0.05,15,"NV",15,"CA"
"Bushtit","55-15","14-15",2,15,"NV",15,"CA"
"Cliff Swallow","55-15","14-15",1.15,15,"NV",15,"CA"
"Burrowing Owl","55-15","14-15",1.07,15,"NV",15,"CA"
"Downy Woodpecker","55-15","14-15",1.02,15,"NV",15,"CA"
"Blue Grosbeak","55-15","14-15",1.36,15,"NV",15,"CA"
"Sage Thrasher","55-15","14-15",1.91,15,"NV",15,"CA"
"House Finch","55-15","14-15",1,15,"NV",15,"CA"
"Northern Goshawk","55-15","14-15",1.56,15,"NV",15,"CA"
"Swainson's Hawk","55-15","14-15",1,15,"NV",15,"CA"
"Sagebrush Sparrow","55-15","14-15",2,15,"NV",15,"CA"
"Common Yellowthroat","55-15","14-15",2,15,"NV",15,"CA"
"Black-throated Gray Warbler","55-15","14-15",1.13,15,"NV",15,"CA"
"Orange-crowned Warbler","55-15","14-15",2,15,"NV",15,"CA"
"Brewer's Blackbird","55-15","14-15",1,15,"NV",15,"CA"
"European Starling","55-15","14-15",1,15,"NV",15,"CA"
"Ash-throated Flycatcher","55-15","14-15",1,15,"NV",15,"CA"
"Red-breasted Sapsucker","55-15","14-15",1.14,15,"NV",15,"CA"
"Common Poorwill","55-15","14-15",2,15,"NV",15,"CA"
"Winter Wren","55-15","14-15",2,15,"NV",15,"CA"
"Green-tailed Towhee","55-15","14-15",1.03,15,"NV",15,"CA"
"Golden-crowned Kinglet","55-15","14-15",1.72,15,"NV",15,"CA"
"Turkey Vulture","55-15","14-15",1,15,"NV",15,"CA"
"Western Scrub-Jay","55-15","14-15",1,15,"NV",15,"CA"
"Gray Flycatcher","55-15","14-15",2,15,"NV",15,"CA"
"White-breasted Nuthatch","55-15","14-15",1,15,"NV",15,"CA"
"Clark's Nutcracker","55-15","14-15",1.48,15,"NV",15,"CA"
"Yellow-rumped Warbler","55-15","14-15",1.05,15,"NV",15,"CA"
"Northern Flicker","55-15","14-15",1.22,15,"NV",15,"CA"
"Western Meadowlark","55-15","14-15",1,15,"NV",15,"CA"
"Yellow-rumped Warbler","47-28","18-28",1.12,28,"MA",28,"CT"
"Eastern Towhee","47-28","18-28",1,28,"MA",28,"CT"
"House Sparrow","47-28","18-28",1,28,"MA",28,"CT"
"Brown Thrasher","47-28","18-28",1,28,"MA",28,"CT"
"Marsh Wren","47-28","18-28",1,28,"MA",28,"CT"
"Hermit Thrush","47-28","18-28",1,28,"MA",28,"CT"
"Brown-headed Cowbird","47-28","18-28",1,28,"MA",28,"CT"
"Black-throated Blue Warbler","47-28","18-28",1,28,"MA",28,"CT"
"Baltimore Oriole","47-28","18-28",1,28,"MA",28,"CT"
"Vesper Sparrow","47-28","18-28",1.05,28,"MA",28,"CT"
"Barn Owl","47-28","18-28",1,28,"MA",28,"CT"
"Alder Flycatcher","47-28","18-28",1.13,28,"MA",28,"CT"
"Ruffed Grouse","47-28","18-28",1,28,"MA",28,"CT"
"Eastern Meadowlark","47-28","18-28",1,28,"MA",28,"CT"
"Northern Rough-winged Swallow","47-28","18-28",1,28,"MA",28,"CT"
"Blue Jay","47-28","18-28",1,28,"MA",28,"CT"
"Magnolia Warbler","47-28","18-28",2,28,"MA",28,"CT"
"Northern Goshawk","47-28","18-28",1.49,28,"MA",28,"CT"
"Chimney Swift","47-28","18-28",1,28,"MA",28,"CT"
"Barred Owl","47-28","18-28",1,28,"MA",28,"CT"
"Evening Grosbeak","47-28","18-28",1,28,"MA",28,"CT"
"Ruby-throated Hummingbird","47-28","18-28",1,28,"MA",28,"CT"
"Warbling Vireo","47-28","18-28",1,28,"MA",28,"CT"
"Grasshopper Sparrow","47-28","18-28",1,28,"MA",28,"CT"
"American Redstart","47-28","18-28",1,28,"MA",28,"CT"
"Red-eyed Vireo","47-28","18-28",1,28,"MA",28,"CT"
"Acadian Flycatcher","47-28","18-28",0.02,28,"MA",28,"CT"
"Black-and-white Warbler","47-28","18-28",1,28,"MA",28,"CT"
"Veery","47-28","18-28",1,28,"MA",28,"CT"
"House Wren","47-28","18-28",1,28,"MA",28,"CT"
"Eastern Bluebird","47-28","18-28",1,28,"MA",28,"CT"
"Yellow Warbler","47-28","18-28",1,28,"MA",28,"CT"
"House Finch","47-28","18-28",1,28,"MA",28,"CT"
"Prairie Warbler","47-28","18-28",1,28,"MA",28,"CT"
"Canada Warbler","47-28","18-28",1,28,"MA",28,"CT"
"Wood Thrush","47-28","18-28",1,28,"MA",28,"CT"
"Horned Lark","47-28","18-28",0.04,28,"MA",28,"CT"
"Common Nighthawk","47-28","18-28",1,28,"MA",28,"CT"
"Eastern Kingbird","47-28","18-28",1,28,"MA",28,"CT"
"Bobolink","47-28","18-28",1,28,"MA",28,"CT"
"Wild Turkey","47-28","18-28",1,28,"MA",28,"CT"
"Rose-breasted Grosbeak","47-28","18-28",1,28,"MA",28,"CT"
"Purple Finch","47-28","18-28",1,28,"MA",28,"CT"
"Black-capped Chickadee","47-28","18-28",1,28,"MA",28,"CT"
"Winter Wren","47-28","18-28",0.57,28,"MA",28,"CT"
"American Crow","47-28","18-28",1,28,"MA",28,"CT"
"Northern Flicker","47-28","18-28",1,28,"MA",28,"CT"
"Pileated Woodpecker","47-28","18-28",1,28,"MA",28,"CT"
"Turkey Vulture","47-28","18-28",1,28,"MA",28,"CT"
"Tree Swallow","47-28","18-28",1,28,"MA",28,"CT"
"Cedar Waxwing","47-28","18-28",1,28,"MA",28,"CT"
"Eastern Phoebe","47-28","18-28",1,28,"MA",28,"CT"
"Gray Catbird","47-28","18-28",1,28,"MA",28,"CT"
"Great Crested Flycatcher","47-28","18-28",1,28,"MA",28,"CT"
"White-breasted Nuthatch","47-28","18-28",1,28,"MA",28,"CT"
"Mourning Dove","47-28","18-28",1,28,"MA",28,"CT"
"Northern Waterthrush","47-28","18-28",1,28,"MA",28,"CT"
"Nashville Warbler","47-28","18-28",1,28,"MA",28,"CT"
"Olive-sided Flycatcher","47-28","18-28",1,28,"MA",28,"CT"
"Willow Flycatcher","47-28","18-28",1,28,"MA",28,"CT"
"Ring-necked Pheasant","47-28","18-28",1,28,"MA",28,"CT"
"Golden-crowned Kinglet","47-28","18-28",1,28,"MA",28,"CT"
"Yellow-billed Cuckoo","47-28","18-28",1,28,"MA",28,"CT"
"Red-shouldered Hawk","47-28","18-28",1,28,"MA",28,"CT"
"Downy Woodpecker","47-28","18-28",1,28,"MA",28,"CT"
"Northern Cardinal","47-28","18-28",1,28,"MA",28,"CT"
"European Starling","47-28","18-28",1,28,"MA",28,"CT"
"Field Sparrow","47-28","18-28",1,28,"MA",28,"CT"
"American Kestrel","47-28","18-28",1,28,"MA",28,"CT"
"Eastern Wood-Pewee","47-28","18-28",1,28,"MA",28,"CT"
"Barn Swallow","47-28","18-28",1,28,"MA",28,"CT"
"Rock Pigeon","47-28","18-28",1,28,"MA",28,"CT"
"Carolina Wren","47-28","18-28",0.01,28,"MA",28,"CT"
"Savannah Sparrow","47-28","18-28",1,28,"MA",28,"CT"
"Eastern Screech-Owl","47-28","18-28",1,28,"MA",28,"CT"
"Red-winged Blackbird","47-28","18-28",1,28,"MA",28,"CT"
"Indigo Bunting","47-28","18-28",1,28,"MA",28,"CT"
"Orchard Oriole","47-28","18-28",1,28,"MA",28,"CT"
"Golden-winged Warbler","47-28","18-28",1,28,"MA",28,"CT"
"Red-tailed Hawk","47-28","18-28",1,28,"MA",28,"CT"
"Scarlet Tanager","47-28","18-28",1,28,"MA",28,"CT"
"Sharp-shinned Hawk","47-28","18-28",1,28,"MA",28,"CT"
"Black-billed Cuckoo","47-28","18-28",1,28,"MA",28,"CT"
"Least Flycatcher","47-28","18-28",1,28,"MA",28,"CT"
"Common Yellowthroat","47-28","18-28",1,28,"MA",28,"CT"
"Blue-headed Vireo","47-28","18-28",1.17,28,"MA",28,"CT"
"Common Grackle","47-28","18-28",1,28,"MA",28,"CT"
"Yellow-throated Vireo","47-28","18-28",1,28,"MA",28,"CT"
"Eastern Whip-poor-will","47-28","18-28",1,28,"MA",28,"CT"
"White-throated Sparrow","47-28","18-28",1,28,"MA",28,"CT"
"Northern Harrier","47-28","18-28",1,28,"MA",28,"CT"
"Yellow-bellied Sapsucker","47-28","18-28",2,28,"MA",28,"CT"
"Chipping Sparrow","47-28","18-28",1,28,"MA",28,"CT"
"Swamp Sparrow","47-28","18-28",1,28,"MA",28,"CT"
"Black-throated Green Warbler","47-28","18-28",1,28,"MA",28,"CT"
"Brown Creeper","47-28","18-28",1,28,"MA",28,"CT"
"Northern Saw-whet Owl","47-28","18-28",1,28,"MA",28,"CT"
"Great Horned Owl","47-28","18-28",1,28,"MA",28,"CT"
"Cooper's Hawk","47-28","18-28",1,28,"MA",28,"CT"
"Tufted Titmouse","47-28","18-28",1,28,"MA",28,"CT"
"Blue-gray Gnatcatcher","47-28","18-28",1,28,"MA",28,"CT"
"Northern Mockingbird","47-28","18-28",1,28,"MA",28,"CT"
"Hairy Woodpecker","47-28","18-28",1,28,"MA",28,"CT"
"American Robin","47-28","18-28",1,28,"MA",28,"CT"
"Pine Warbler","47-28","18-28",2,28,"MA",28,"CT"
"Red-breasted Nuthatch","47-28","18-28",1,28,"MA",28,"CT"
"Broad-winged Hawk","47-28","18-28",1,28,"MA",28,"CT"
"Dark-eyed Junco","47-28","18-28",1.1,28,"MA",28,"CT"
"Blackburnian Warbler","47-28","18-28",1.1,28,"MA",28,"CT"
"Blue-winged Warbler","47-28","18-28",1,28,"MA",28,"CT"
"Song Sparrow","47-28","18-28",1,28,"MA",28,"CT"
"Bank Swallow","47-28","18-28",1,28,"MA",28,"CT"
"American Goldfinch","47-28","18-28",1,28,"MA",28,"CT"
"Osprey","47-28","18-28",0.05,28,"MA",28,"CT"
"Ovenbird","47-28","18-28",1,28,"MA",28,"CT"
"Louisiana Waterthrush","47-28","18-28",1,28,"MA",28,"CT"
"Chestnut-sided Warbler","47-28","18-28",1,28,"MA",28,"CT"
"Worm-eating Warbler","47-28","18-28",1,28,"MA",28,"CT"
"Cliff Swallow","47-28","18-28",2,28,"MA",28,"CT"
"Belted Kingfisher","47-28","18-28",1,28,"MA",28,"CT"
"Mountain Bluebird","92-9","33-9",1.01,9,"WY",9,"ID"
"Pine Grosbeak","92-9","33-9",2,9,"WY",9,"ID"
"Brewer's Sparrow","92-9","33-9",1,9,"WY",9,"ID"
"Cliff Swallow","92-9","33-9",1,9,"WY",9,"ID"
"Yellow-rumped Warbler","92-9","33-9",2,9,"WY",9,"ID"
"Warbling Vireo","92-9","33-9",1,9,"WY",9,"ID"
"Western Meadowlark","92-9","33-9",1,9,"WY",9,"ID"
"Vesper Sparrow","92-9","33-9",1,9,"WY",9,"ID"
"American Kestrel","92-9","33-9",1,9,"WY",9,"ID"
"Rock Wren","92-9","33-9",1,9,"WY",9,"ID"
"Horned Lark","92-9","33-9",1,9,"WY",9,"ID"
"Common Grackle","92-9","33-9",2,9,"WY",9,"ID"
"Golden-crowned Kinglet","92-9","33-9",2,9,"WY",9,"ID"
"Bobolink","92-9","33-9",2,9,"WY",9,"ID"
"Green-tailed Towhee","92-9","33-9",1.1,9,"WY",9,"ID"
"Lark Sparrow","92-9","33-9",1.14,9,"WY",9,"ID"
"Western Kingbird","92-9","33-9",1,9,"WY",9,"ID"
"Gray Jay","92-9","33-9",2,9,"WY",9,"ID"
"Bank Swallow","92-9","33-9",1,9,"WY",9,"ID"
"Hammond's Flycatcher","92-9","33-9",1.11,9,"WY",9,"ID"
"Common Raven","92-9","33-9",1,9,"WY",9,"ID"
"Red-tailed Hawk","92-9","33-9",1,9,"WY",9,"ID"
"Brown Creeper","92-9","33-9",2,9,"WY",9,"ID"
"Northern Goshawk","92-9","33-9",1.45,9,"WY",9,"ID"
"Northern Pygmy-Owl","92-9","33-9",2,9,"WY",9,"ID"
"Olive-sided Flycatcher","92-9","33-9",1,9,"WY",9,"ID"
"Swainson's Hawk","92-9","33-9",1,9,"WY",9,"ID"
"American Goldfinch","92-9","33-9",1,9,"WY",9,"ID"
"Cedar Waxwing","92-9","33-9",1.51,9,"WY",9,"ID"
"Spotted Towhee","92-9","33-9",1,9,"WY",9,"ID"
"American Redstart","92-9","33-9",2,9,"WY",9,"ID"
"Short-eared Owl","92-9","33-9",1,9,"WY",9,"ID"
"Hairy Woodpecker","92-9","33-9",1.86,9,"WY",9,"ID"
"Barn Swallow","92-9","33-9",1,9,"WY",9,"ID"
"Fox Sparrow","92-9","33-9",1,9,"WY",9,"ID"
"Mountain Chickadee","92-9","33-9",2,9,"WY",9,"ID"
"Swainson's Thrush","92-9","33-9",1.84,9,"WY",9,"ID"
"Long-eared Owl","92-9","33-9",1,9,"WY",9,"ID"
"Osprey","92-9","33-9",2,9,"WY",9,"ID"
"Brown-headed Cowbird","92-9","33-9",1,9,"WY",9,"ID"
"Common Yellowthroat","92-9","33-9",1.07,9,"WY",9,"ID"
"Black Rosy-Finch","92-9","33-9",2,9,"WY",9,"ID"
"Mourning Dove","92-9","33-9",1,9,"WY",9,"ID"
"Common Poorwill","92-9","33-9",1.09,9,"WY",9,"ID"
"Rock Pigeon","92-9","33-9",1,9,"WY",9,"ID"
"Steller's Jay","92-9","33-9",1.33,9,"WY",9,"ID"
"House Wren","92-9","33-9",1,9,"WY",9,"ID"
"Eastern Kingbird","92-9","33-9",1,9,"WY",9,"ID"
"White-throated Swift","92-9","33-9",1,9,"WY",9,"ID"
"White-breasted Nuthatch","92-9","33-9",2,9,"WY",9,"ID"
"Dusky Grouse","92-9","33-9",2,9,"WY",9,"ID"
"Common Nighthawk","92-9","33-9",1,9,"WY",9,"ID"
"Turkey Vulture","92-9","33-9",1,9,"WY",9,"ID"
"Gray Partridge","92-9","33-9",0.56,9,"WY",9,"ID"
"Orange-crowned Warbler","92-9","33-9",2,9,"WY",9,"ID"
"Northern Flicker","92-9","33-9",1,9,"WY",9,"ID"
"Pine Siskin","92-9","33-9",2,9,"WY",9,"ID"
"American Crow","92-9","33-9",1,9,"WY",9,"ID"
"Burrowing Owl","92-9","33-9",1.06,9,"WY",9,"ID"
"Sharp-tailed Grouse","92-9","33-9",2,9,"WY",9,"ID"
"Northern Mockingbird","92-9","33-9",1,9,"WY",9,"ID"
"Marsh Wren","92-9","33-9",1.05,9,"WY",9,"ID"
"Townsend's Solitaire","92-9","33-9",2,9,"WY",9,"ID"
"Ash-throated Flycatcher","92-9","33-9",1.63,9,"WY",9,"ID"
"Lincoln's Sparrow","92-9","33-9",2,9,"WY",9,"ID"
"Red-breasted Nuthatch","92-9","33-9",2,9,"WY",9,"ID"
"Dusky Flycatcher","92-9","33-9",1,9,"WY",9,"ID"
"Northern Saw-whet Owl","92-9","33-9",1.08,9,"WY",9,"ID"
"Ferruginous Hawk","92-9","33-9",1.09,9,"WY",9,"ID"
"Great Horned Owl","92-9","33-9",1,9,"WY",9,"ID"
"Hermit Thrush","92-9","33-9",2,9,"WY",9,"ID"
"Ruby-crowned Kinglet","92-9","33-9",2,9,"WY",9,"ID"
"White-winged Crossbill","92-9","33-9",0.27,9,"WY",9,"ID"
"Willow Flycatcher","92-9","33-9",1,9,"WY",9,"ID"
